ticker,headline,timestamp,url,source,window,fetched_at,sentiment_label,sentiment_score
AAPL,Here’s Why Apple (AAPL) is on the Detectors List of Brown Advisory Large-Cap Growth Strategy - Insider Monkey,2025-12-04T13:38:38,https://news.google.com/rss/articles/CBMizgFBVV95cUxQY0Z4djZZS2lHVnRpMExXeXI5dThjU0Q4RHlqN0JCTEZHWkYwM3VacG41SFdKYnNSVkY5cXlPbkJVb0R6ejFXQl9PRnplU0xCVENDVnVXa0pMVWRJM19vTTUxMU9QcFVwS0Z0aC02YklmVE5VMUhrTXpCazJ0bjlJVEpMb3BHTzFIWWtMV1NUQkdpSldSQi0tajVYWDRwa1lLUktJXy1BbVJaXzVPdHNycHZ1eldnTVg4T2JjcGctVG9ibkF1X18zTUJTLVByUdIB1gFBVV95cUxPZHZteVNzdDVfT3JocXNnM3dsY2Q4ZjdHcnNXckRHM0ZkTTVLVDJWZ2dkSW03a04waHlmbGdvM0dBSlZFVjhRcjc5RlRoamkzdmZGTng5TzRqRU9nbThwM1pTc2dHcUx1b0RERVN5YThnUWpDcU5YYW9jZ2dqd3YwUFZiUGFsNmFqSm1rMmtfMTloVTgzVGFBcF8tdkRfdHRtd0tNZG1sYko0MkRBTmludlBhWm9lNl9fcGJDN01xUTZwZ2tjWU92OWZTUGVuT21DNVVPemF3?oc=5,google_news,1d,2025-12-04T14:23:35.456937+00:00,neutral,4.166164217167534e-06
AAPL,"‘It’s a Major Reset,’ Says Daniel Ives About Apple Stock - TipRanks",2025-12-04T01:25:25,https://news.google.com/rss/articles/CBMiigFBVV95cUxOSGFBSlNILTJqRUw2RlljX212VVhDdzdnMXJ2X09DakZDSmpSU0FhVEVLcGIwUk1MaUtCaHdVR1Atd0l4NGZQczRKZGlqOVB3MHFtWGpJVjFJekY2bjZxa2M1dmhLb2dHTWRuT2tjN1g1RjAwLTFqcjNLaHFVeEZXcGJWTDIxa0k1eWc?oc=5,google_news,1d,2025-12-04T14:23:35.457394+00:00,neutral,-4.979361983714625e-05
AAPL,Will Roundhill ETF Trust Roundhill AAPL stock benefit from Fed rate cuts - 2025 Major Catalysts & Real-Time Volume Spike Alerts - Newser,2025-12-04T07:22:17,https://news.google.com/rss/articles/CBMirAFBVV95cUxOUDk1NmFNTGFNQTJTbUlsVmtLSkVscjFMTDUtZDI3MFF0LUhoYlotckN4a2wxN1FnX09XQWxOMndSMnFNNXozRzRBNVRmaVlsMUxUanpNbmExZ1dnN1BTTUFMQmV6bm1ycjJRTVRqWTktUE9SZ25ocWdoSWNpdnFUM2RmdkpTbjlsSDk1ZC1BWW9hZjFUQmpXaUdyREVMeTF2eEJvQll4LW1vYzBO?oc=5,google_news,1d,2025-12-04T14:23:35.457853+00:00,positive,0.9999998807907104
AAPL,Trillium Asset Management LLC Cuts Stock Position in Apple Inc. $AAPL - MarketBeat,2025-12-04T13:17:36,https://news.google.com/rss/articles/CBMixwFBVV95cUxOSkFXcXRzMW1KNUZjSGFPWm1QdjlYRmlJUkV6QUJpQk9mWF9qS2lwTUZXOXJNbGMwaGE3R1FhUFk0aUgxM1NmWW9BanA2NFVMYi1tbnJrZmU4VFNWbXNvRGMyWDB1S0JXdS00cE5kYVJuQ1U1cU1iMExMN0E3dUpWZkRrb0VlSkZOWWw4YzJqdWJCdVkzQ3lvUE8yLVdiLTFOUkhVai1jMm5GOXJ5M25namxDS0Z3ZENhQzZBQ1pHbTBPa1hkbV80?oc=5,google_news,1d,2025-12-04T14:23:35.458135+00:00,neutral,0.00010604844283079728
AAPL,Apple (AAPL) Price Target Raised as Loop Capital Sees Stronger iPhone 17 Demand - Finviz,2025-12-04T09:18:43,https://news.google.com/rss/articles/CBMirAFBVV95cUxNOGl1aktjUDY4S0xSeldOS2FEMWM1RmdmelZ4ZkYyUzJ3SXpvWWczOXRwZDFnS2ZCWS1ieGNzWk8xcFFySVZCaFJEUTJ3SkR2bXZDR3kyYzZLa0JLRkprLWpHcW14TFJOUUZ2OUdiU1YzaEtGMmZWTUhjRGpiU01ISkxFSFB2ZWlNd2FkbmF1UE1SeVNLcmpBM0M5Zk5nT2RhUEI5akFNZ2djeUo0?oc=5,google_news,1d,2025-12-04T14:23:35.458490+00:00,positive,0.9999995231628418
AAPL,Cloud Capital Management LLC Boosts Stock Position in Apple Inc. $AAPL - MarketBeat,2025-12-04T08:58:05,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPZGQ0aTlmQXF3bVkwcFZDbldsTXBXUU1ENHNBajVYYVlrWjBvSWE3bGVpT3ZOTFlid0FSNFRRajlobkhyYjM5NnRjZHp1Z0F5S1RnVVBuLVA5RVZpRlk3TUFLNW1tcFU4Nl8wQi1ZYWp3YnFSUlVBa19iX3NHenBpRUZuVUd3LW9xRk55UmpsQkVrcHUwR3hNbHloYW1HUUk0eEdOVFNXbXh1aGFuVHEySkE4ZWotWGxncHRyR2wtdkZlTEtUTnVhWg?oc=5,google_news,1d,2025-12-04T14:23:35.458763+00:00,positive,1.0
AAPL,How AAPL stock reacts to inflationary pressures - 2025 Earnings Surprises & Real-Time Volume Trigger Notifications - Newser,2025-12-04T06:31:37,https://news.google.com/rss/articles/CBMiigFBVV95cUxOZFlxZWtDelVwUGxNdkptWWtZWnBySUpLWHZBQmpua3VJR0h3X3lDVkdtQndIRVFvdjdiX0FWOUNxTnNsTkJDc0lfajZ2YlFWWDNiQmVHb1ZHTlRtN1pmMUVLUTlIbzd3LS1GRUZraS1kSDBZX21uN1ozb3U3c01aaXZfUUREWldfNmc?oc=5,google_news,1d,2025-12-04T14:23:35.459075+00:00,neutral,-0.0159436147660017
AAPL,Apple's global iPhone revenue surges 40% month over month: Bernstein (AAPL:NASDAQ) - Seeking Alpha,2025-12-03T15:46:59,https://news.google.com/rss/articles/CBMisAFBVV95cUxPZkJsb19ScmZ4d0xsTDhPT3ROMURsNUFWQlNvejhjNTFFVkhkZF9RcnlsQUwyZXdrT1VRSVdRWjlJajkzMEpvYXBjRGxGTVlpcEdIZUNELWhLRF9hSUJ2X0xVN0QxbEcxS0tiTHNNUU1fLWV1bUU3WDhpWU56S0ltbFM0QmlOZUVrMVg4b3NsbFVYUHR6emUxZ2JlcFJ3VzhyZFFNY05ReGJfVXJBUm1LUA?oc=5,google_news,1d,2025-12-04T14:23:35.459343+00:00,positive,1.0
AAPL,Apple (AAPL) Stock: iPhone 17 Success Delivers Record-Breaking 247 Million Units - parameter.io,2025-12-03T15:30:51,https://news.google.com/rss/articles/CBMioAFBVV95cUxQS0Y0VkxrLWVXUTBfa1dHOXVjYjRoQkktRU1xR2RZaW9wVDhxX1UxdDdaYkN6NnhtcE5zNndQVkwwZXAyQWs2YmpwYldzWmNlaW11XzR5VU5yY1RSbmwzQXlKcWM0c2pZZkdEeEdZay01T2gyUTJMdFFFNzJuaTN1NU1IMmt2VG5GTW95bkpQaUNWWUo1NURQM0ZpOHlrbElo?oc=5,google_news,1d,2025-12-04T14:23:35.459573+00:00,positive,1.0
AAPL,"Stock Market Today - Wall Street Steadies: S&P 500 at 6,831, Nasdaq 23,383 as MSFT, NVDA, AAPL, MRVL React to Fed Cut Hopes - TradingNEWS",2025-12-03T17:01:29,https://news.google.com/rss/articles/CBMipAFBVV95cUxQbG9EYnhtQWI3Y1R1ZldPcU1jT0RiVTM2SnE3WVRLS2JkNlN6VDUwdDFISFhVNnJ0X0RuUE1Vcnl0bHFCVGhuaGNSS0F3VUFiempUNkh3dndtWFZBczA1MlVDd3h0SmNMM1VwdmdqaEZRbWxxdXZsY1dvdURGemlYeGc2bkJtUEhtYUVDMGdDalRNMEhYcG5YZm44dmJ6azFGUmRZVw?oc=5,google_news,1d,2025-12-04T14:23:35.459959+00:00,neutral,0.008804013952612877
